Country/Region code,Country/Region name,Local authority code,Local authority name,year,median_gross_annual_earnings,price_to_earnings_ratio
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2016,"26,405",6.91
E12000006,East of England,E07000147,North Norfolk,2016,"23,266",9.46
E12000006,East of England,E07000148,Norwich,2016,"25,289",6.80
E12000006,East of England,E07000149,South Norfolk,2016,"29,934",7.52
E12000006,East of England,E07000200,Babergh,2016,"28,473",8.78
E12000006,East of England,E07000202,Ipswich,2016,"26,824",6.15
E12000006,East of England,E07000203,Mid Suffolk,2016,"26,853",8.38
E12000006,East of England,E07000244,East Suffolk,2016,"27,782",7.56
E12000006,East of England,E07000245,West Suffolk,2016,"26,725",8.23
E12000006,East of England,E06000031,Peterborough,2017,"24,245",7.04
E12000006,East of England,E07000008,Cambridge,2017,"32,247",13.33
E12000006,East of England,E07000009,East Cambridgeshire,2017,"30,180",9.08
E12000006,East of England,E07000010,Fenland,2017,"26,419",6.62
E12000006,East of England,E07000011,Huntingdonshire,2017,"30,694",8.16
E12000006,East of England,E07000012,South Cambridgeshire,2017,"35,432",10.30
E12000006,East of England,E07000067,Braintree,2017,"31,793",8.34
E12000006,East of England,E07000071,Colchester,2017,"30,923",8.34
E12000006,East of England,E07000076,Tendring,2017,"27,554",7.98
E12000006,East of England,E07000077,Uttlesford,2017,"36,704",10.63
E12000006,East of England,E07000095,Broxbourne,2017,"32,285",10.38
E12000006,East of England,E07000143,Breckland,2017,"24,050",8.68
E12000006,East of England,E07000144,Broadland,2017,"27,417",8.70
E12000006,East of England,E07000145,Great Yarmouth,2017,"24,415",6.76
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2017,"25,353",7.89
E12000006,East of England,E07000147,North Norfolk,2017,"24,479",9.60
E12000006,East of England,E07000148,Norwich,2017,"25,822",7.20
E12000006,East of England,E07000149,South Norfolk,2017,"27,314",8.91
E12000006,East of England,E07000200,Babergh,2017,"31,086",8.61
E12000006,East of England,E07000202,Ipswich,2017,"26,673",6.84
E12000006,East of England,E07000203,Mid Suffolk,2017,"25,948",9.83
E12000006,East of England,E07000244,East Suffolk,2017,"27,287",8.43
E12000006,East of England,E07000245,West Suffolk,2017,"28,543",8.23
E12000006,East of England,E06000031,Peterborough,2018,"25,250",7.33
E12000006,East of England,E07000008,Cambridge,2018,"32,980",13.04
E12000006,East of England,E07000009,East Cambridgeshire,2018,"29,474",9.50
E12000006,East of England,E07000010,Fenland,2018,"27,708",6.68
E12000006,East of England,E07000011,Huntingdonshire,2018,"31,760",8.50
E12000006,East of England,E07000012,South Cambridgeshire,2018,"37,414",9.74
E12000006,East of England,E07000067,Braintree,2018,"32,464",8.55
E12000006,East of England,E07000071,Colchester,2018,"30,906",8.80
E12000006,East of England,E07000076,Tendring,2018,"27,011",8.42
E12000006,East of England,E07000077,Uttlesford,2018,"34,560",11.89
E12000006,East of England,E07000095,Broxbourne,2018,"33,541",10.44
